"legacy_code_NOT_approved","v38_name","v38_source_id","v371_name","v371_source_id","cause","recommended_candidate_version_NOT_allocation","status"
"64426","長命寺","200000057800","鉾ノ木貝塚","230000107100","EXPLICIT_CROSS_VERSION_SOURCE_COLLISION_REPLACEMENT","v3.7.1","OWNER_GOVERNANCE_REQUIRED"
"64427","八幡神社","210000204200","上ノ山貝塚","230000107200","EXPLICIT_CROSS_VERSION_SOURCE_COLLISION_REPLACEMENT","v3.7.1","OWNER_GOVERNANCE_REQUIRED"
"64455","子檀嶺神社","200000075100","成海神社","230000107300","EXPLICIT_CROSS_VERSION_SOURCE_COLLISION_REPLACEMENT","v3.7.1","OWNER_GOVERNANCE_REQUIRED"
"64456","長蔵寺","210000251900","鳴海城跡","230000107400","EXPLICIT_CROSS_VERSION_SOURCE_COLLISION_REPLACEMENT","v3.7.1","OWNER_GOVERNANCE_REQUIRED"
"64485","八幡神社","210000276700","鳴海廃寺","230000107500","EXPLICIT_CROSS_VERSION_SOURCE_COLLISION_REPLACEMENT","v3.7.1","OWNER_GOVERNANCE_REQUIRED"
"64514","浄光寺","210000306100","善照寺砦跡","230000107600","EXPLICIT_CROSS_VERSION_SOURCE_COLLISION_REPLACEMENT","v3.7.1","OWNER_GOVERNANCE_REQUIRED"
"64543","八幡神社","210000328900","丹下砦跡","230000107700","EXPLICIT_CROSS_VERSION_SOURCE_COLLISION_REPLACEMENT","v3.7.1","OWNER_GOVERNANCE_REQUIRED"
"64572","洞雲寺","210000390400","中島砦跡","230000107800","EXPLICIT_CROSS_VERSION_SOURCE_COLLISION_REPLACEMENT","v3.7.1","OWNER_GOVERNANCE_REQUIRED"
"64601","安養寺","200000155400","教授寺","230000057900","CAPACITY_FALLBACK_DIFFERENT_SOURCE_POOL","v3.7.1","OWNER_GOVERNANCE_REQUIRED"
"64630","敬満神社","220000237000","白山神社","230000058700","CAPACITY_FALLBACK_DIFFERENT_SOURCE_POOL","v3.7.1","OWNER_GOVERNANCE_REQUIRED"
"64659","教授寺","230000057900","中島新四郎宅跡","230000061000","CAPACITY_FALLBACK_DIFFERENT_SOURCE_POOL","v3.7.1","OWNER_GOVERNANCE_REQUIRED"
