"candidate_key_NOT_master_code","canonical_master_code","names_ja","names_en","prefectures","addresses","entity_types","historical_coordinates_NOT_navigation_verified","legacy_code_claims_NOT_approved","source_record_ids","source_urls","identity_status"
"candidate:B-20260914-R01-010","","御座石神社","Goza-no-ishi Shrine","秋田県","","shrine","[]","","candidate:B-20260914-R01-010","https://www.city.semboku.akita.jp/cn/sightseeing/spot/04_04.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R01-011","","二見興玉神社","Futami Okitama Shrine","三重県","","shrine","[]","","candidate:B-20260914-R01-011","https://futamiokitamajinja.or.jp/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R01-012","","談山神社","Tanzan Shrine","奈良県","","shrine","[]","","candidate:B-20260914-R01-012","https://www.tanzan.or.jp/index.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R01-013","","桜井二見ヶ浦","Sakurai Futamigaura","福岡県","","coastal_scenic_site","[]","","candidate:B-20260914-R01-013","https://www.crossroadfukuoka.jp/spot/12456","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R01-016","","高屋神社 本宮","Takaya Shrine Hongu","香川県","","shrine","[]","","candidate:B-20260914-R01-016","https://www.city.kanonji.kagawa.jp/soshiki/21/13387.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R01-017","","浮羽稲荷神社","Ukiha Inari Shrine","福岡県","","shrine","[]","","candidate:B-20260914-R01-017","https://ukiha-inari.jp/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R01-019","","正寿院","Shojuin Temple","京都府","","temple","[]","","candidate:B-20260914-R01-019","https://www.kyoto-kankou.or.jp/info_search/9687","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R01-020","","楊谷寺（柳谷観音）","Yokokuji Temple (Yanagidani Kannon)","京都府","","temple","[]","","candidate:B-20260914-R01-020","https://www.city.nagaokakyo.lg.jp/0000001278.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R01-021","","三光稲荷神社（犬山市）","Sanko Inari Shrine (Inuyama)","愛知県","","shrine","[]","","candidate:B-20260914-R01-021","https://aichinow.pref.aichi.jp/spots/detail/1158/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R01-022","","桃太郎神社（犬山市）","Momotaro Shrine (Inuyama)","愛知県","","shrine","[]","","candidate:B-20260914-R01-022","https://aichinow.pref.aichi.jp/spots/detail/178","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R01-023","","如意輪寺（小郡市・かえる寺）","Nyoirinji Temple (Ogori / Frog Temple)","福岡県","","temple","[]","","candidate:B-20260914-R01-023","https://kanko-ogori.net/kaerudera/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R01-024","","小網神社","Koami Shrine","東京都","","shrine","[]","","candidate:B-20260914-R01-024","https://www.koamijinja.or.jp/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R02-003","","はこだて自由市場","Hakodate Jiyu Market","北海道","","market","[]","","candidate:B-20260914-R02-003","https://www.hakobura.jp/spots/692","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R02-004","","釧路和商市場","Kushiro Washo Market","北海道","","market","[]","","candidate:B-20260914-R02-004","https://www.washoichiba.com/","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R02-009","","陸奥湊駅前朝市","Mutsuminato Station Morning Market","青森県","","fixed_market_street","[]","","candidate:B-20260914-R02-009","https://aomori-tourism.com/event/detail_2845.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R02-012","","松島さかな市場","Matsushima Fish Market","宮城県","","market","[]","","candidate:B-20260914-R02-012","https://www.matsushima-kanko.com/shopping/detail.php?id=162","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R02-013","","秋田まるごと市場","Akita Marugoto Market","秋田県","","market","[]","","candidate:B-20260914-R02-013","https://common3.pref.akita.lg.jp/kosodate/kosodate-info/childstation/cs97","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
"candidate:B-20260914-R02-015","","寺泊魚の市場通り","Teradomari Fish Market Street","新潟県","","fixed_market_street","[]","","candidate:B-20260914-R02-015","https://www.city.nagaoka.niigata.jp/kankou/miru/sizen/sakanaitiba.html","CANDIDATE_ONLY_IDENTITY_GATE_PENDING"
