"name_group","decision","quarantined_from_enrichment","candidate_keys","addresses","reason","official_evidence_urls"
"en:千葉県:asaichi","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B-20260915-S0298 | candidate:B-20260915-S0310","千葉県いすみ市八幡神社境内 | 千葉県夷隅郡御宿町新町通り","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"en:新潟県:","IGNORED_PLACEHOLDER_NAME","false","candidate:B-SNS-20260915-R08-006 | candidate:B-SNS-20260915-R09-215 | candidate:B-SNS-20260915-R09-241 | candidate:B-SNS-20260915-R09-245","新潟県十日町市松之山湯山1252-1 | 新潟県上越市大手町4番12号 | 新潟県五泉市宮町5-46 | 新潟県長岡市西蔵王2-6-19","Punctuation-only English names normalized to empty; no identity relationship.",""
"en:長野県:","IGNORED_PLACEHOLDER_NAME","false","candidate:B-SNS-20260915-R08-009 | candidate:B-SNS-20260915-R08-017 | geoshape-nrct-poi:200000061300 | geoshape-nrct-poi:200000091300 | geoshape-nrct-poi:200000110500","長野県長野市大字長野54 | 長野県下高井郡山ノ内町平穏6845 | 長野県 上田市 真田町長4473番地 / 長野県上田市真田町長 | 長野県 上田市 下之郷701番地 / 長野県上田市下之郷字中池西701 | 長野県 諏訪市 大字上諏訪9556番地 / 長野県諏訪市上諏訪茶臼山9556","Punctuation-only English names normalized to empty; no identity relationship.",""
"ja:三重県:観音寺","HOLD_ADDRESS_COORDINATE_CONTRADICTION","true","geoshape-nrct-poi:240000091400 | geoshape-nrct-poi:240000098200","三重県 尾鷲市 早田町92番地 | 三重県 尾鷲市 早田町92番地","Same retained address is attached to different historical points. Do not merge or silently correct source geography.",""
"ja:京都府:三室戸寺","MERGED_SUPPORTED","false","geoshape-nrct-poi:260000071500","京都府 宇治市 莵道滋賀谷21番地","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.","https://saikoku33.gr.jp/place/10"
"ja:京都府:六波羅蜜寺","MERGED_SUPPORTED","false","geoshape-nrct-poi:270000073200","京都府 京都市 東山区轆轤町81番地","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.","https://saikoku33.gr.jp/place/17"
"ja:京都府:円福寺","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:260000053800 | geoshape-nrct-poi:260000060500","京都府 八幡市 八幡福禄谷153番地 | 京都府 八幡市 八幡福禄谷153番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:京都府:南禅寺","MERGED_SUPPORTED","false","geoshape-nrct-poi:270000043500","Nanzenji Fukuchi-cho, Sakyo-ku, Kyoto-shi, Kyoto-fu / 京都府 京都市 左京区南禅寺福地町","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:京都府:咋岡神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:260000042400 | geoshape-nrct-poi:260000043000","京都府 京田辺市 草内宮ノ後5番地 | 京都府 京田辺市 飯岡東原62番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:京都府:大智寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:260000013400 | geoshape-nrct-poi:260000022100","京都府 相楽郡和束町 大字湯船小字中山101番地 | 京都府 木津川市 木津小字雲村42番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:京都府:天神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:260000035700 | geoshape-nrct-poi:260000039700","京都府 福知山市 字生野3番地 | 京都府 京田辺市 松井向山1番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:京都府:安養寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:260000059400 | geoshape-nrct-poi:260000063500 | geoshape-nrct-poi:270000046000","京都府 久世郡久御山町 東一口112番地 | 京都府 城陽市 平川指月83番地 | 京都府 京都市 左京区粟田口山下町8番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:京都府:平安神宮","MERGED_SUPPORTED","false","geoshape-nrct-poi:270000047500","Okazaki Nishitenno-cho, Sakyo-ku, Kyoto-shi, Kyoto-fu / 京都府 京都市 左京区岡崎西天王町97番地","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:京都府:御霊神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:260000018500 | geoshape-nrct-poi:260000022500","京都府 京都市 西京区上桂西居町48番地 | 京都府 木津川市 木津宮ノ裏285番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:京都府:極楽寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:260000031800 | geoshape-nrct-poi:260000046500","京都府 京都市 上京区七番町七本松通出水下る三番町282番地 | 京都府 京田辺市 天王大岩41番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:京都府:清水寺","MERGED_SUPPORTED","false","geoshape-nrct-poi:270000079000","294 Kiyomizu 1 Chome, Higashiyama-ku, Kyoto-shi, Kyoto-fu / 京都府 京都市 東山区清水一丁目","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:京都府:知恩院","MERGED_SUPPORTED","false","geoshape-nrct-poi:270000056400","400 Rinka-cho, Higashiyama-ku, Kyoto-shi, Kyoto-fu / 京都府 京都市 東山区林下町","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:京都府:石清水八幡宮","MERGED_SUPPORTED","false","geoshape-nrct-poi:260000048200","京都府 八幡市 八幡高坊30番地","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.","https://www.kyototourism.org/zh-hant/sightseeing/742/"
