"legacy_code_NOT_approved","candidate_key","names_ja","addresses","source_versions","status"
"64426","geoshape-nrct-poi:200000057800","長命寺","長野県 長野市 大字南堀346番地","v3.8","UNRESOLVED_DO_NOT_ALLOCATE"
"64426","geoshape-nrct-poi:230000107100","鉾ノ木貝塚","愛知県 名古屋市緑区 鳴海町","v3.7.1","UNRESOLVED_DO_NOT_ALLOCATE"
"64427","geoshape-nrct-poi:210000204200","八幡神社","岐阜県 岐阜市 前一色二丁目1番6号","v3.8","UNRESOLVED_DO_NOT_ALLOCATE"
"64427","geoshape-nrct-poi:230000107200","上ノ山貝塚","愛知県 名古屋市緑区 鳴海町","v3.7.1","UNRESOLVED_DO_NOT_ALLOCATE"
"64455","geoshape-nrct-poi:200000075100","子檀嶺神社","長野県 上田市 武石小沢根230番地","v3.8","UNRESOLVED_DO_NOT_ALLOCATE"
"64455","geoshape-nrct-poi:230000107300","成海神社","愛知県 名古屋市 緑区鳴海町乙子山85番地","v3.7.1","UNRESOLVED_DO_NOT_ALLOCATE"
"64456","geoshape-nrct-poi:210000251900","長蔵寺","岐阜県 加茂郡坂祝町 酒倉169番地","v3.8","UNRESOLVED_DO_NOT_ALLOCATE"
"64456","geoshape-nrct-poi:230000107400","鳴海城跡","愛知県 名古屋市緑区 鳴海町","v3.7.1","UNRESOLVED_DO_NOT_ALLOCATE"
"64485","geoshape-nrct-poi:210000276700","八幡神社","岐阜県 岐阜市 前一色二丁目1番6号","v3.8","UNRESOLVED_DO_NOT_ALLOCATE"
"64485","geoshape-nrct-poi:230000107500","鳴海廃寺","愛知県 名古屋市緑区 鳴海町","v3.7.1","UNRESOLVED_DO_NOT_ALLOCATE"
"64514","geoshape-nrct-poi:210000306100","浄光寺","岐阜県 安八郡輪之内町 福束56番地","v3.8","UNRESOLVED_DO_NOT_ALLOCATE"
"64514","geoshape-nrct-poi:230000107600","善照寺砦跡","愛知県 名古屋市緑区 鳴海町","v3.7.1","UNRESOLVED_DO_NOT_ALLOCATE"
"64543","geoshape-nrct-poi:210000328900","八幡神社","岐阜県 岐阜市 前一色二丁目1番6号","v3.8","UNRESOLVED_DO_NOT_ALLOCATE"
"64543","geoshape-nrct-poi:230000107700","丹下砦跡","愛知県 名古屋市緑区 鳴海町","v3.7.1","UNRESOLVED_DO_NOT_ALLOCATE"
"64572","geoshape-nrct-poi:210000390400","洞雲寺","岐阜県 飛騨市 神岡町船津570番地","v3.8","UNRESOLVED_DO_NOT_ALLOCATE"
"64572","geoshape-nrct-poi:230000107800","中島砦跡","愛知県 名古屋市緑区 鳴海町","v3.7.1","UNRESOLVED_DO_NOT_ALLOCATE"
"64601","geoshape-nrct-poi:200000155400","安養寺","長野県 下伊那郡高森町 下市田1092番地","v3.8","UNRESOLVED_DO_NOT_ALLOCATE"
"64601","geoshape-nrct-poi:230000057900","教授寺","愛知県 名古屋市 中区丸の内二丁目17番21号","v3.7.1","UNRESOLVED_DO_NOT_ALLOCATE"
"64630","geoshape-nrct-poi:220000237000","敬満神社","静岡県 島田市 阪本4054番地","v3.8","UNRESOLVED_DO_NOT_ALLOCATE"
"64630","geoshape-nrct-poi:230000058700","白山神社","愛知県 名古屋市 中村区横井二丁目47番地","v3.7.1","UNRESOLVED_DO_NOT_ALLOCATE"
"64659","geoshape-nrct-poi:230000057900","教授寺","愛知県 名古屋市 中区丸の内二丁目17番21号","v3.8","UNRESOLVED_DO_NOT_ALLOCATE"
"64659","geoshape-nrct-poi:230000061000","中島新四郎宅跡","愛知県 名古屋市中区 丸の内二丁目","v3.7.1","UNRESOLVED_DO_NOT_ALLOCATE"
"64688","geoshape-nrct-poi:230000061100","伊藤次郎左衛門宅跡","愛知県 名古屋市中区 丸の内二丁目","v3.7.1","UNRESOLVED_DO_NOT_ALLOCATE"
"64688","geoshape-nrct-poi:240000107400","東庄内Ａ遺跡跡","三重県 亀山市 川崎町","v3.8","UNRESOLVED_DO_NOT_ALLOCATE"
"64717","geoshape-nrct-poi:230000061300","東両替所跡","愛知県 名古屋市中区 丸の内三丁目","v3.7.1","UNRESOLVED_DO_NOT_ALLOCATE"
