"source_record_id","name_ja","historical_address","master_code_UNKNOWN","source_url"
"geoshape-nrct-poi:010000037400","箱館沖之口役所跡","北海道 函館市 大町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000037400.html"
"geoshape-nrct-poi:010000037500","箱館産物会所跡","北海道 函館市 大町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000037500.html"
"geoshape-nrct-poi:010000037600","誠終舎跡","北海道 函館市 大町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000037600.html"
"geoshape-nrct-poi:010000038100","函館中華会館","北海道 函館市 大町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000038100.html"
"geoshape-nrct-poi:010000038300","諸術調所跡","北海道 函館市 弥生町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000038300.html"
"geoshape-nrct-poi:010000038600","弁天岬台場跡","北海道 函館市 弁天町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000038600.html"
"geoshape-nrct-poi:010000038700","太刀川家住宅店舗","北海道 函館市 弁天町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000038700.html"
"geoshape-nrct-poi:010000040800","箱館医学所跡","北海道 函館市 船見町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000040800.html"
"geoshape-nrct-poi:010000041900","山上大神宮","北海道 函館市 船見町15番1号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000041900.html"
"geoshape-nrct-poi:010000042000","称名寺","北海道 函館市 船見町18番14号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000042000.html"
"geoshape-nrct-poi:010000042100","実行寺","北海道 函館市 船見町18番18号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000042100.html"
"geoshape-nrct-poi:010000042200","旧ロシア領事館","北海道 函館市 船見町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000042200.html"
"geoshape-nrct-poi:010000042500","函館外人墓地","北海道 函館市 船見町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000042500.html"
"geoshape-nrct-poi:010000042600","真言寺","北海道 函館市 船見町20番20号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000042600.html"
"geoshape-nrct-poi:010000042700","高龍寺","北海道 函館市 船見町21番11号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000042700.html"
"geoshape-nrct-poi:010000043000","旧イギリス領事館","北海道 函館市 元町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000043000.html"
"geoshape-nrct-poi:010000043100","日本基督教団函館教会","北海道 函館市 元町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000043100.html"
"geoshape-nrct-poi:010000043300","箱館奉行所跡","北海道 函館市 元町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000043300.html"
"geoshape-nrct-poi:010000043400","旧北海道庁函館支庁庁舎","北海道 函館市 元町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000043400.html"
"geoshape-nrct-poi:010000043500","旧函館区公会堂","北海道 函館市 元町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000043500.html"
"geoshape-nrct-poi:010000043600","真宗大谷派函館別院","北海道 函館市 元町16番15号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000043600.html"
"geoshape-nrct-poi:010000043700","函館ハリストス正教会","北海道 函館市 元町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000043700.html"
"geoshape-nrct-poi:010000043800","函館元町カトリック教会","北海道 函館市 元町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000043800.html"
"geoshape-nrct-poi:010000043900","日本聖公会函館聖ヨハネ教会","北海道 函館市 元町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000043900.html"
"geoshape-nrct-poi:010000044500","函館護国神社","北海道 函館市 青柳町9番23号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000044500.html"
"geoshape-nrct-poi:010000045100","旧函館博物館一号館・函館博物館二号館","北海道 函館市 青柳町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000045100.html"
"geoshape-nrct-poi:010000045300","天祐寺","北海道 函館市 青柳町27番26号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000045300.html"
"geoshape-nrct-poi:010000045400","新善光寺","北海道 函館市 青柳町37番17号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000045400.html"
"geoshape-nrct-poi:010000045500","高野寺","北海道 函館市 住吉町12番23号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000045500.html"
"geoshape-nrct-poi:010000045700","常住寺","北海道 函館市 青柳町31番3号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000045700.html"
"geoshape-nrct-poi:010000045800","新注連寺","北海道 函館市 青柳町37番26号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000045800.html"
"geoshape-nrct-poi:010000046500","住吉町遺跡","北海道 函館市 住吉町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000046500.html"
"geoshape-nrct-poi:010000046900","函館八幡宮","北海道 函館市 谷地頭町2番","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000046900.html"
"geoshape-nrct-poi:010000047100","旧金森洋物店","北海道 函館市 末広町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000047100.html"
"geoshape-nrct-poi:010000047400","五島軒本店旧館","北海道 函館市 末広町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000047400.html"
"geoshape-nrct-poi:010000048800","本願寺函館別院","北海道 函館市 東川町12番12号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000048800.html"
"geoshape-nrct-poi:010000048900","函館燧木製造所跡","北海道 函館市 東川町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000048900.html"
"geoshape-nrct-poi:010000052500","日本キリスト教会函館相生教会","北海道 函館市 本町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000052500.html"
"geoshape-nrct-poi:010000054100","湯倉神社","北海道 上磯郡知内町 字湯ノ里284番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000054100.html"
"geoshape-nrct-poi:010000054300","湯ノ川遺跡","北海道 函館市 湯川町一丁目","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000054300.html"
"geoshape-nrct-poi:010000054600","天使の聖母トラピスチヌ修道院","北海道 函館市 上湯川町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000054600.html"
"geoshape-nrct-poi:010000056800","志苔館跡","北海道 函館市 志海苔町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000056800.html"
"geoshape-nrct-poi:010000057200","石倉貝塚","北海道 函館市 中野町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000057200.html"
"geoshape-nrct-poi:010000057300","中野Ａ遺跡・中野Ｂ遺跡","北海道 函館市 中野町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000057300.html"
"geoshape-nrct-poi:010000057500","妙応寺","北海道 函館市 石崎町320番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000057500.html"
"geoshape-nrct-poi:010000057600","勝願寺","北海道 函館市 石崎町600番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000057600.html"
"geoshape-nrct-poi:010000058300","亀田八幡宮","北海道 函館市 八幡町3番2号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000058300.html"
"geoshape-nrct-poi:010000058400","五稜郭跡","北海道 函館市 五稜郭町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000058400.html"
"geoshape-nrct-poi:010000058800","サイベ沢遺跡","北海道 函館市 西桔梗町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000058800.html"
"geoshape-nrct-poi:010000059300","北海道東照宮","北海道 函館市 陣川町82番地153","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000059300.html"
"geoshape-nrct-poi:010000059400","四稜郭","北海道 函館市 陣川町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000059400.html"
"geoshape-nrct-poi:010000061100","福山城跡","北海道 松前郡松前町 字松城","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000061100.html"
"geoshape-nrct-poi:010000061600","徽典館跡","北海道 松前郡松前町 字松城","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000061600.html"
"geoshape-nrct-poi:010000061800","福山沖之口役所跡","北海道 松前郡松前町 字松城","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000061800.html"
"geoshape-nrct-poi:010000062200","法幢寺","北海道 松前郡松前町 字松城307番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000062200.html"
"geoshape-nrct-poi:010000062400","法源寺","北海道 松前郡松前町 字松城341番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000062400.html"
"geoshape-nrct-poi:010000062500","龍雲院","北海道 松前郡松前町 字松城305番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000062500.html"
"geoshape-nrct-poi:010000062600","光善寺","北海道 松前郡松前町 字松城303番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000062600.html"
"geoshape-nrct-poi:010000062800","阿吽寺","北海道 松前郡松前町 字松城371番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000062800.html"
"geoshape-nrct-poi:010000063500","済衆館跡","北海道 松前郡松前町 字福山","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000063500.html"
"geoshape-nrct-poi:010000064000","大館跡","北海道 松前郡松前町 字神明","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000064000.html"
"geoshape-nrct-poi:010000064100","徳山大神宮","北海道 松前郡松前町 字神明66番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000064100.html"
"geoshape-nrct-poi:010000064800","正行寺","北海道 松前郡松前町 字豊岡256番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000064800.html"
"geoshape-nrct-poi:010000065100","法華寺","北海道 松前郡松前町 字豊岡258番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000065100.html"
"geoshape-nrct-poi:010000066000","専念寺","北海道 松前郡松前町 字唐津267番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000066000.html"
"geoshape-nrct-poi:010000066600","熊野神社","北海道 松前郡松前町 字大磯115番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000066600.html"
"geoshape-nrct-poi:010000067000","弁天神社","北海道 松前郡松前町 字弁天214番地2","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000067000.html"
"geoshape-nrct-poi:010000067100","松前灯台","北海道 松前郡松前町 字弁天","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000067100.html"
"geoshape-nrct-poi:010000067700","小島灯台","北海道 松前郡松前町 字小島","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000067700.html"
"geoshape-nrct-poi:010000068000","札前遺跡","北海道 松前郡松前町 字札前","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000068000.html"
"geoshape-nrct-poi:010000068900","寺町貝塚","北海道 松前郡松前町 字江良","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000068900.html"
"geoshape-nrct-poi:010000070800","白神灯台","北海道 松前郡松前町 字白神","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000070800.html"
"geoshape-nrct-poi:010000071000","松城学校","北海道 松前郡松前町 字松城","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000071000.html"
"geoshape-nrct-poi:010000071100","松前神社","北海道 松前郡松前町 字松城145番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000071100.html"
