"request_id","pack_id","entity_type","entity_id","display_name_zh","display_name_ja","display_name_en","asset_role","poi_tier","priority","orientation","target_width","target_height","source_policy","status","provider","source_id","source_url","license","credit","commercial_use_allowed","cache_allowed","derivatives_allowed","notes"
"jp-tokyo-desktop-hero-001","jp-tokyo","asset_request","jp-tokyo-desktop-hero-001","东京 · desktop-hero 需求 1","東京 · desktop-hero 素材枠 1","Tokyo · desktop-hero request 1","desktop-hero","","P0","landscape","1920","1080","licensed_documentary_or_explicitly_approved_illustrative","acquisition_required","","","","","","","","","Unresolved role/area requirement, NOT a real POI entity. Pack destination is supported by start-flow generated-plans/japan-regions and trip-library fixtures; identify subject and verify names before acquisition."
"jp-tokyo-mobile-hero-001","jp-tokyo","asset_request","jp-tokyo-mobile-hero-001","东京 · mobile-hero 需求 1","東京 · mobile-hero 素材枠 1","Tokyo · mobile-hero request 1","mobile-hero","","P0","portrait","1080","1440","licensed_documentary_or_explicitly_approved_illustrative","acquisition_required","","","","","","","","","Unresolved role/area requirement, NOT a real POI entity. Pack destination is supported by start-flow generated-plans/japan-regions and trip-library fixtures; identify subject and verify names before acquisition."
"jp-tokyo-area-cover-001","jp-tokyo","asset_request","jp-tokyo-area-cover-001","东京 · area-cover 需求 1","東京 · area-cover 素材枠 1","Tokyo · area-cover request 1","area-cover","","P1","landscape","960","640","licensed_documentary_or_provider_reference_no_scraping","acquisition_required","","","","","","","","","Unresolved role/area requirement, NOT a real POI entity. Pack destination is supported by start-flow generated-plans/japan-regions and trip-library fixtures; identify subject and verify names before acquisition."
"jp-tokyo-area-cover-002","jp-tokyo","asset_request","jp-tokyo-area-cover-002","东京 · area-cover 需求 2","東京 · area-cover 素材枠 2","Tokyo · area-cover request 2","area-cover","","P1","landscape","960","640","licensed_documentary_or_provider_reference_no_scraping","acquisition_required","","","","","","","","","Unresolved role/area requirement, NOT a real POI entity. Pack destination is supported by start-flow generated-plans/japan-regions and trip-library fixtures; identify subject and verify names before acquisition."
"jp-tokyo-area-cover-003","jp-tokyo","asset_request","jp-tokyo-area-cover-003","东京 · area-cover 需求 3","東京 · area-cover 素材枠 3","Tokyo · area-cover request 3","area-cover","","P1","landscape","960","640","licensed_documentary_or_provider_reference_no_scraping","acquisition_required","","","","","","","","","Unresolved role/area requirement, NOT a real POI entity. Pack destination is supported by start-flow generated-plans/japan-regions and trip-library fixtures; identify subject and verify names before acquisition."
"jp-tokyo-landmark-symbol-001","jp-tokyo","poi_candidate","jp-tokyo-sensoji","浅草寺","浅草寺","Senso-ji","landmark-symbol","S","P1","square","640","640","original_symbolic_only_not_documentary","acquisition_required","","","","","","","","","Candidate name occurs in src/features/planner/data/planner-catalog.ts at baseline; translations and identity require editorial verification. No coordinate/provider ID asserted."
"jp-tokyo-landmark-symbol-002","jp-tokyo","poi_candidate","jp-tokyo-tokyo-skytree","东京晴空塔","東京スカイツリー","Tokyo Skytree","landmark-symbol","S","P1","square","640","640","original_symbolic_only_not_documentary","acquisition_required","","","","","","","","","Candidate name occurs in src/features/planner/data/planner-catalog.ts at baseline; translations and identity require editorial verification. No coordinate/provider ID asserted."
"jp-tokyo-landmark-symbol-003","jp-tokyo","asset_request","jp-tokyo-landmark-symbol-003","东京 · landmark-symbol 需求 3","東京 · landmark-symbol 素材枠 3","Tokyo · landmark-symbol request 3","landmark-symbol","S","P1","square","640","640","original_symbolic_only_not_documentary","acquisition_required","","","","","","","","","Unresolved role/area requirement, NOT a real POI entity. Pack destination is supported by start-flow generated-plans/japan-regions and trip-library fixtures; identify subject and verify names before acquisition."
"jp-tokyo-landmark-symbol-004","jp-tokyo","asset_request","jp-tokyo-landmark-symbol-004","东京 · landmark-symbol 需求 4","東京 · landmark-symbol 素材枠 4","Tokyo · landmark-symbol request 4","landmark-symbol","S","P1","square","640","640","original_symbolic_only_not_documentary","acquisition_required","","","","","","","","","Unresolved role/area requirement, NOT a real POI entity. Pack destination is supported by start-flow generated-plans/japan-regions and trip-library fixtures; identify subject and verify names before acquisition."
"jp-tokyo-landmark-symbol-005","jp-tokyo","asset_request","jp-tokyo-landmark-symbol-005","东京 · landmark-symbol 需求 5","東京 · landmark-symbol 素材枠 5","Tokyo · landmark-symbol request 5","landmark-symbol","S","P1","square","640","640","original_symbolic_only_not_documentary","acquisition_required","","","","","","","","","Unresolved role/area requirement, NOT a real POI entity. Pack destination is supported by start-flow generated-plans/japan-regions and trip-library fixtures; identify subject and verify names before acquisition."
"jp-tokyo-landmark-symbol-006","jp-tokyo","asset_request","jp-tokyo-landmark-symbol-006","东京 · landmark-symbol 需求 6","東京 · landmark-symbol 素材枠 6","Tokyo · landmark-symbol request 6","landmark-symbol","S","P1","square","640","640","original_symbolic_only_not_documentary","acquisition_required","","","","","","","","","Unresolved role/area requirement, NOT a real POI entity. Pack destination is supported by start-flow generated-plans/japan-regions and trip-library fixtures; identify subject and verify names before acquisition."
"jp-tokyo-landmark-symbol-007","jp-tokyo","asset_request","jp-tokyo-landmark-symbol-007","东京 · landmark-symbol 需求 7","東京 · landmark-symbol 素材枠 7","Tokyo · landmark-symbol request 7","landmark-symbol","S","P1","square","640","640","original_symbolic_only_not_documentary","acquisition_required","","","","","","","","","Unresolved role/area requirement, NOT a real POI entity. Pack destination is supported by start-flow generated-plans/japan-regions and trip-library fixtures; identify subject and verify names before acquisition."
