"poi_id","destination_id","batch_id","tier","country_code","prefecture_code","selection_order","category","name_zh","name_ja","name_en","canonical_name","aliases","latitude","longitude","provider_type","provider_entity_id","official_url","source_mode","source_job_id","sm_variant_id","rights_status","status","authenticity","quota_exception_reason","review_notes"
"unresolved:jp-tokyo:1","jp-tokyo","JP-S-01","S","JP","tokyo","1","landmark","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:1","variant:jp-tokyo:poi:1:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:2","jp-tokyo","JP-S-01","S","JP","tokyo","2","landmark","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:2","variant:jp-tokyo:poi:2:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:3","jp-tokyo","JP-S-01","S","JP","tokyo","3","landmark","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:3","variant:jp-tokyo:poi:3:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:4","jp-tokyo","JP-S-01","S","JP","tokyo","4","landmark","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:4","variant:jp-tokyo:poi:4:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:5","jp-tokyo","JP-S-01","S","JP","tokyo","5","landmark","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:5","variant:jp-tokyo:poi:5:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:6","jp-tokyo","JP-S-01","S","JP","tokyo","6","landmark","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:6","variant:jp-tokyo:poi:6:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:7","jp-tokyo","JP-S-01","S","JP","tokyo","7","landmark","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:7","variant:jp-tokyo:poi:7:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:8","jp-tokyo","JP-S-01","S","JP","tokyo","8","landmark","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:8","variant:jp-tokyo:poi:8:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:9","jp-tokyo","JP-S-01","S","JP","tokyo","9","landmark","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:9","variant:jp-tokyo:poi:9:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:10","jp-tokyo","JP-S-01","S","JP","tokyo","10","landmark","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:10","variant:jp-tokyo:poi:10:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:11","jp-tokyo","JP-S-01","S","JP","tokyo","11","museum_culture","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:11","variant:jp-tokyo:poi:11:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:12","jp-tokyo","JP-S-01","S","JP","tokyo","12","museum_culture","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:12","variant:jp-tokyo:poi:12:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:13","jp-tokyo","JP-S-01","S","JP","tokyo","13","museum_culture","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:13","variant:jp-tokyo:poi:13:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:14","jp-tokyo","JP-S-01","S","JP","tokyo","14","museum_culture","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:14","variant:jp-tokyo:poi:14:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:15","jp-tokyo","JP-S-01","S","JP","tokyo","15","museum_culture","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:15","variant:jp-tokyo:poi:15:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:16","jp-tokyo","JP-S-01","S","JP","tokyo","16","museum_culture","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:16","variant:jp-tokyo:poi:16:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:17","jp-tokyo","JP-S-01","S","JP","tokyo","17","historic_religious","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:17","variant:jp-tokyo:poi:17:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:18","jp-tokyo","JP-S-01","S","JP","tokyo","18","historic_religious","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:18","variant:jp-tokyo:poi:18:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
"unresolved:jp-tokyo:19","jp-tokyo","JP-S-01","S","JP","tokyo","19","historic_religious","","","","","","","","","","","acquisition_required","source:jp-tokyo:poi:19","variant:jp-tokyo:poi:19:sm","unresolved","entity_resolution_required","unknown","","Unresolved quota slot, not a real POI. Resolve against official/approved entity source, verify Japan location, deduplicate globally, and obtain rights before acquisition."
