execution_order,batch_id,tier,destinations,attractions,city_variant_files,attraction_variant_files,expected_variant_files,default_run_mode
1,JP-S-01,S,10,400,20,400,420,manifest-first
2,JP-S-02,S,10,400,20,400,420,manifest-first
3,JP-S-03,S,10,400,20,400,420,manifest-first
4,JP-S-04,S,10,400,20,400,420,manifest-first
5,JP-S-05,S,10,400,20,400,420,manifest-first
6,JP-S-06,S,10,400,20,400,420,manifest-first
7,JP-S-07,S,10,400,20,400,420,manifest-first
8,JP-S-08,S,10,400,20,400,420,manifest-first
9,JP-S-09,S,10,400,20,400,420,manifest-first
10,JP-S-10,S,10,400,20,400,420,manifest-first
11,JP-A-01,A,7,175,14,175,189,manifest-first
12,JP-A-02,A,7,175,14,175,189,manifest-first
13,JP-A-03,A,7,175,14,175,189,manifest-first
14,JP-A-04,A,7,175,14,175,189,manifest-first
15,JP-A-05,A,7,175,14,175,189,manifest-first
16,JP-A-06,A,7,175,14,175,189,manifest-first
17,JP-A-07,A,7,175,14,175,189,manifest-first
18,JP-A-08,A,7,175,14,175,189,manifest-first
19,JP-A-09,A,7,175,14,175,189,manifest-first
20,JP-A-10,A,7,175,14,175,189,manifest-first
21,JP-A-11,A,7,175,14,175,189,manifest-first
22,JP-A-12,A,7,175,14,175,189,manifest-first
23,JP-A-13,A,7,175,14,175,189,manifest-first
24,JP-A-14,A,7,175,14,175,189,manifest-first
25,JP-A-15,A,7,175,14,175,189,manifest-first
26,JP-A-16,A,7,175,14,175,189,manifest-first
27,JP-A-17,A,7,175,14,175,189,manifest-first
28,JP-A-18,A,7,175,14,175,189,manifest-first
29,JP-A-19,A,7,175,14,175,189,manifest-first
30,JP-A-20,A,7,175,14,175,189,manifest-first
31,JP-A-21,A,6,150,12,150,162,manifest-first
32,JP-A-22,A,6,150,12,150,162,manifest-first
33,JP-A-23,A,6,150,12,150,162,manifest-first
34,JP-A-24,A,6,150,12,150,162,manifest-first
35,JP-A-25,A,6,150,12,150,162,manifest-first
36,JP-A-26,A,6,150,12,150,162,manifest-first
37,JP-A-27,A,6,150,12,150,162,manifest-first
38,JP-A-28,A,6,150,12,150,162,manifest-first
39,JP-A-29,A,6,150,12,150,162,manifest-first
40,JP-A-30,A,6,150,12,150,162,manifest-first
