"destination_id","batch_id","tier","region","country_code","prefecture_code","prefecture_name_ja","prefecture_name_en","entity_type","name_zh","name_ja","name_en","canonical_name","aliases","latitude","longitude","provider_type","provider_entity_id","attraction_quota","source_mode","source_job_id","md_variant_id","lg_variant_id","status","authenticity","rights_status","official_url","entity_provenance","coverage_note","review_notes"
"jp-tokyo","JP-S-01","S","kanto","JP","tokyo","東京都","Tokyo","city","东京","東京","Tokyo","Tokyo","","","","","","40","illustrative_city","source:jp-tokyo:master","variant:jp-tokyo:md","variant:jp-tokyo:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/kanto/tokyo/","docs/assets/catalog/destination-packs.v1.json","JNTO directory primary prefecture: Tokyo. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-kyoto","JP-S-01","S","kansai","JP","kyoto","京都府","Kyoto","city","京都","京都","Kyoto","Kyoto","","","","","","40","illustrative_city","source:jp-kyoto:master","variant:jp-kyoto:md","variant:jp-kyoto:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/kansai/kyoto/","docs/assets/catalog/destination-packs.v1.json","JNTO directory primary prefecture: Kyoto. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-osaka","JP-S-01","S","kansai","JP","osaka","大阪府","Osaka","city","大阪","大阪","Osaka","Osaka","","","","","","40","illustrative_city","source:jp-osaka:master","variant:jp-osaka:md","variant:jp-osaka:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/kansai/osaka/","docs/assets/catalog/destination-packs.v1.json","JNTO directory primary prefecture: Osaka. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-sapporo","JP-S-01","S","hokkaido","JP","hokkaido","北海道","Hokkaido","entity_resolution_required","","","Sapporo","Sapporo","","","","","","40","illustrative_city","source:jp-sapporo:master","variant:jp-sapporo:md","variant:jp-sapporo:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/hokkaido/hokkaido/sapporo-and-around","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Hokkaido. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-fukuoka","JP-S-01","S","kyushu-okinawa","JP","fukuoka","福岡県","Fukuoka","entity_resolution_required","","","Fukuoka","Fukuoka","","","","","","40","illustrative_city","source:jp-fukuoka:master","variant:jp-fukuoka:md","variant:jp-fukuoka:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/kyushu/fukuoka/","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Fukuoka. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-yokohama","JP-S-01","S","kanto","JP","kanagawa","神奈川県","Kanagawa","entity_resolution_required","","","Yokohama","Yokohama","","","","","","40","illustrative_city","source:jp-yokohama:master","variant:jp-yokohama:md","variant:jp-yokohama:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/kanto/kanagawa/yokohama-and-around","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Kanagawa. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-hakone","JP-S-01","S","kanto","JP","kanagawa","神奈川県","Kanagawa","entity_resolution_required","","","Hakone","Hakone","","","","","","40","illustrative_city","source:jp-hakone:master","variant:jp-hakone:md","variant:jp-hakone:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/kanto/kanagawa/hakone-and-around","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Kanagawa. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-kamakura","JP-S-01","S","kanto","JP","kanagawa","神奈川県","Kanagawa","entity_resolution_required","","","Kamakura","Kamakura","","","","","","40","illustrative_city","source:jp-kamakura:master","variant:jp-kamakura:md","variant:jp-kamakura:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/kanto/kanagawa/kamakura-and-around","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Kanagawa. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-nara","JP-S-01","S","kansai","JP","nara","奈良県","Nara","entity_resolution_required","","","Nara","Nara","","","","","","40","illustrative_city","source:jp-nara:master","variant:jp-nara:md","variant:jp-nara:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/kansai/nara/","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Nara. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-kobe","JP-S-01","S","kansai","JP","hyogo","兵庫県","Hyogo","entity_resolution_required","","","Kobe","Kobe","","","","","","40","illustrative_city","source:jp-kobe:master","variant:jp-kobe:md","variant:jp-kobe:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/kansai/hyogo/kobe-and-around","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Hyogo. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-hiroshima","JP-S-02","S","chugoku","JP","hiroshima","広島県","Hiroshima","entity_resolution_required","","","Hiroshima","Hiroshima","","","","","","40","illustrative_city","source:jp-hiroshima:master","variant:jp-hiroshima:md","variant:jp-hiroshima:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/chugoku/hiroshima/","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Hiroshima. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-miyajima","JP-S-02","S","chugoku","JP","hiroshima","広島県","Hiroshima","entity_resolution_required","","","Miyajima","Miyajima","","","","","","40","illustrative_city","source:jp-miyajima:master","variant:jp-miyajima:md","variant:jp-miyajima:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/chugoku/hiroshima/miyajima","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Hiroshima. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-nagoya","JP-S-02","S","chubu","JP","aichi","愛知県","Aichi","entity_resolution_required","","","Nagoya","Nagoya","","","","","","40","illustrative_city","source:jp-nagoya:master","variant:jp-nagoya:md","variant:jp-nagoya:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/tokai/aichi/nagoya-station-and-around/","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Aichi. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-kanazawa","JP-S-02","S","chubu","JP","ishikawa","石川県","Ishikawa","entity_resolution_required","","","Kanazawa","Kanazawa","","","","","","40","illustrative_city","source:jp-kanazawa:master","variant:jp-kanazawa:md","variant:jp-kanazawa:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/hokuriku-shinetsu/ishikawa/kanazawa-and-around","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Ishikawa. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-takayama","JP-S-02","S","chubu","JP","gifu","岐阜県","Gifu","entity_resolution_required","","","Takayama","Takayama","","","","","","40","illustrative_city","source:jp-takayama:master","variant:jp-takayama:md","variant:jp-takayama:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/tokai/gifu/takayama-and-around","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Gifu. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-shirakawa-go","JP-S-02","S","chubu","JP","","","","entity_resolution_required","","","Shirakawa-go","Shirakawa-go","","","","","","40","illustrative_city","source:jp-shirakawa-go:master","variant:jp-shirakawa-go:md","variant:jp-shirakawa-go:lg","entity_resolution_required","illustrative","unresolved","","docs/assets/catalog/core-destination-generation-seed.v1.csv","Prefecture/administrative scope unresolved; not counted toward coverage. Seed region is not sufficient evidence.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
"jp-nikko","JP-S-02","S","kanto","JP","tochigi","栃木県","Tochigi","entity_resolution_required","","","Nikko","Nikko","","","","","","40","illustrative_city","source:jp-nikko:master","variant:jp-nikko:md","variant:jp-nikko:lg","entity_resolution_required","illustrative","unresolved","https://www.japan.travel/en/destinations/kanto/tochigi/nikko-area","docs/assets/catalog/core-destination-generation-seed.v1.csv","JNTO directory primary prefecture: Tochigi. Tourism area is not an administrative boundary. Cross-prefecture extent and exact subject require review.","Resolve center coordinates, exact entity/cluster extent, trilingual names and image rights before execution. Blank coordinates/provider IDs are unknown, not zero."
