"variant_id","source_job_id","entity_id","destination_id","batch_id","country_code","profile_id","max_width","max_height","fit","without_enlargement","format","max_bytes","status","physical_path","physical_bytes","parent_profile_file"
"variant:jp-tokyo:md","source:jp-tokyo:master","jp-tokyo","jp-tokyo","JP-S-01","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-tokyo:lg","source:jp-tokyo:master","jp-tokyo","jp-tokyo","JP-S-01","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kyoto:md","source:jp-kyoto:master","jp-kyoto","jp-kyoto","JP-S-01","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kyoto:lg","source:jp-kyoto:master","jp-kyoto","jp-kyoto","JP-S-01","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-osaka:md","source:jp-osaka:master","jp-osaka","jp-osaka","JP-S-01","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-osaka:lg","source:jp-osaka:master","jp-osaka","jp-osaka","JP-S-01","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-sapporo:md","source:jp-sapporo:master","jp-sapporo","jp-sapporo","JP-S-01","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-sapporo:lg","source:jp-sapporo:master","jp-sapporo","jp-sapporo","JP-S-01","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-fukuoka:md","source:jp-fukuoka:master","jp-fukuoka","jp-fukuoka","JP-S-01","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-fukuoka:lg","source:jp-fukuoka:master","jp-fukuoka","jp-fukuoka","JP-S-01","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-yokohama:md","source:jp-yokohama:master","jp-yokohama","jp-yokohama","JP-S-01","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-yokohama:lg","source:jp-yokohama:master","jp-yokohama","jp-yokohama","JP-S-01","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-hakone:md","source:jp-hakone:master","jp-hakone","jp-hakone","JP-S-01","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-hakone:lg","source:jp-hakone:master","jp-hakone","jp-hakone","JP-S-01","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kamakura:md","source:jp-kamakura:master","jp-kamakura","jp-kamakura","JP-S-01","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kamakura:lg","source:jp-kamakura:master","jp-kamakura","jp-kamakura","JP-S-01","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-nara:md","source:jp-nara:master","jp-nara","jp-nara","JP-S-01","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-nara:lg","source:jp-nara:master","jp-nara","jp-nara","JP-S-01","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kobe:md","source:jp-kobe:master","jp-kobe","jp-kobe","JP-S-01","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kobe:lg","source:jp-kobe:master","jp-kobe","jp-kobe","JP-S-01","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-hiroshima:md","source:jp-hiroshima:master","jp-hiroshima","jp-hiroshima","JP-S-02","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-hiroshima:lg","source:jp-hiroshima:master","jp-hiroshima","jp-hiroshima","JP-S-02","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-miyajima:md","source:jp-miyajima:master","jp-miyajima","jp-miyajima","JP-S-02","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
