"destination_id","alias","canonical_name","provider_entity_id","source_url","status"
"jp-tokyo","Tokyo","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","東京","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","东京","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","东京都","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","日本东京","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","日本東京","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","Tôkyô","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","Tokyo-to","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","Tokyo Metropolitan prefecture","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","Tōkyō-to","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","Tôkyô-to","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","Tokyo Metropolis","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","Tokio","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","Tokyo Prefecture","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","Tokyo, Japan","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","Tokei","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","Tokyo (Japan)","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","Edo","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","Jedo","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-tokyo","Yedo","東京都","Q1490","https://www.wikidata.org/w/index.php?title=Q1490&oldid=undefined","verified"
"jp-kyoto","Kyoto","京都市","Q34600","https://www.wikidata.org/w/index.php?title=Q34600&oldid=undefined","verified"
"jp-kyoto","京都","京都市","Q34600","https://www.wikidata.org/w/index.php?title=Q34600&oldid=undefined","verified"
"jp-kyoto","千年の都","京都市","Q34600","https://www.wikidata.org/w/index.php?title=Q34600&oldid=undefined","verified"
"jp-kyoto","古都","京都市","Q34600","https://www.wikidata.org/w/index.php?title=Q34600&oldid=undefined","verified"
"jp-kyoto","京","京都市","Q34600","https://www.wikidata.org/w/index.php?title=Q34600&oldid=undefined","verified"
"jp-kyoto","京の都","京都市","Q34600","https://www.wikidata.org/w/index.php?title=Q34600&oldid=undefined","verified"
"jp-kyoto","千年余りの都","京都市","Q34600","https://www.wikidata.org/w/index.php?title=Q34600&oldid=undefined","verified"
"jp-kyoto","洛中","京都市","Q34600","https://www.wikidata.org/w/index.php?title=Q34600&oldid=undefined","verified"
"jp-kyoto","上方","京都市","Q34600","https://www.wikidata.org/w/index.php?title=Q34600&oldid=undefined","verified"
"jp-kyoto","Kyoto City","京都市","Q34600","https://www.wikidata.org/w/index.php?title=Q34600&oldid=undefined","verified"
"jp-kyoto","Meacum","京都市","Q34600","https://www.wikidata.org/w/index.php?title=Q34600&oldid=undefined","verified"
"jp-kyoto","Meako","京都市","Q34600","https://www.wikidata.org/w/index.php?title=Q34600&oldid=undefined","verified"
"jp-osaka","Osaka","大阪市","Q35765","https://www.wikidata.org/w/index.php?title=Q35765&oldid=undefined","verified"
"jp-osaka","水の都","大阪市","Q35765","https://www.wikidata.org/w/index.php?title=Q35765&oldid=undefined","verified"
"jp-osaka","天下の台所","大阪市","Q35765","https://www.wikidata.org/w/index.php?title=Q35765&oldid=undefined","verified"
"jp-osaka","東洋のマンチェスター","大阪市","Q35765","https://www.wikidata.org/w/index.php?title=Q35765&oldid=undefined","verified"
"jp-osaka","煙の都","大阪市","Q35765","https://www.wikidata.org/w/index.php?title=Q35765&oldid=undefined","verified"
"jp-osaka","八百八橋","大阪市","Q35765","https://www.wikidata.org/w/index.php?title=Q35765&oldid=undefined","verified"
"jp-osaka","大大阪","大阪市","Q35765","https://www.wikidata.org/w/index.php?title=Q35765&oldid=undefined","verified"
"jp-osaka","おおさかし","大阪市","Q35765","https://www.wikidata.org/w/index.php?title=Q35765&oldid=undefined","verified"
"jp-osaka","大阪","大阪市","Q35765","https://www.wikidata.org/w/index.php?title=Q35765&oldid=undefined","verified"
"jp-osaka","大坂","大阪市","Q35765","https://www.wikidata.org/w/index.php?title=Q35765&oldid=undefined","verified"
"jp-osaka","Osaka City","大阪市","Q35765","https://www.wikidata.org/w/index.php?title=Q35765&oldid=undefined","verified"
"jp-osaka","Ōsaka City","大阪市","Q35765","https://www.wikidata.org/w/index.php?title=Q35765&oldid=undefined","verified"
"jp-sapporo","Sapporo","札幌市","Q37951","https://www.wikidata.org/w/index.php?title=Q37951&oldid=undefined","verified"
"jp-sapporo","札幌区","札幌市","Q37951","https://www.wikidata.org/w/index.php?title=Q37951&oldid=undefined","verified"
"jp-sapporo","道都","札幌市","Q37951","https://www.wikidata.org/w/index.php?title=Q37951&oldid=undefined","verified"
"jp-sapporo","サツホロ","札幌市","Q37951","https://www.wikidata.org/w/index.php?title=Q37951&oldid=undefined","verified"
"jp-sapporo","シヤツホロ","札幌市","Q37951","https://www.wikidata.org/w/index.php?title=Q37951&oldid=undefined","verified"
"jp-sapporo","札幌","札幌市","Q37951","https://www.wikidata.org/w/index.php?title=Q37951&oldid=undefined","verified"
"jp-sapporo","サッ・ポロ・ペッ","札幌市","Q37951","https://www.wikidata.org/w/index.php?title=Q37951&oldid=undefined","verified"
"jp-sapporo","札幌區","札幌市","Q37951","https://www.wikidata.org/w/index.php?title=Q37951&oldid=undefined","verified"
"jp-sapporo","sat poro pet","札幌市","Q37951","https://www.wikidata.org/w/index.php?title=Q37951&oldid=undefined","verified"
"jp-fukuoka","Fukuoka","福岡市","Q26600","https://www.wikidata.org/w/index.php?title=Q26600&oldid=undefined","verified"
"jp-fukuoka","福岡区","福岡市","Q26600","https://www.wikidata.org/w/index.php?title=Q26600&oldid=undefined","verified"
"jp-fukuoka","福冈市","福岡市","Q26600","https://www.wikidata.org/w/index.php?title=Q26600&oldid=undefined","verified"
"jp-fukuoka","Fukuoka City","福岡市","Q26600","https://www.wikidata.org/w/index.php?title=Q26600&oldid=undefined","verified"
"jp-yokohama","Yokohama","横浜市","Q38283","https://www.wikidata.org/w/index.php?title=Q38283&oldid=undefined","verified"
"jp-yokohama","横濱","横浜市","Q38283","https://www.wikidata.org/w/index.php?title=Q38283&oldid=undefined","verified"
"jp-yokohama","横濱市","横浜市","Q38283","https://www.wikidata.org/w/index.php?title=Q38283&oldid=undefined","verified"
"jp-yokohama","横滨市","横浜市","Q38283","https://www.wikidata.org/w/index.php?title=Q38283&oldid=undefined","verified"
"jp-yokohama","横浜市","横浜市","Q38283","https://www.wikidata.org/w/index.php?title=Q38283&oldid=undefined","verified"
"jp-yokohama","橫濱","横浜市","Q38283","https://www.wikidata.org/w/index.php?title=Q38283&oldid=undefined","verified"
"jp-yokohama","横滨","横浜市","Q38283","https://www.wikidata.org/w/index.php?title=Q38283&oldid=undefined","verified"
"jp-yokohama","Yokohama City","横浜市","Q38283","https://www.wikidata.org/w/index.php?title=Q38283&oldid=undefined","verified"
"jp-hakone","Hakone","箱根町","Q671040","https://www.wikidata.org/w/index.php?title=Q671040&oldid=undefined","verified"
"jp-hakone","箱根駅","箱根町","Q671040","https://www.wikidata.org/w/index.php?title=Q671040&oldid=undefined","verified"
"jp-kamakura","Kamakura","鎌倉市","Q200267","https://www.wikidata.org/w/index.php?title=Q200267&oldid=undefined","verified"
"jp-kamakura","鎌倉市","鎌倉市","Q200267","https://www.wikidata.org/w/index.php?title=Q200267&oldid=undefined","verified"
"jp-nara","Nara","奈良市","Q169134","https://www.wikidata.org/w/index.php?title=Q169134&oldid=undefined","verified"
"jp-nara","那羅","奈良市","Q169134","https://www.wikidata.org/w/index.php?title=Q169134&oldid=undefined","verified"
"jp-nara","寧楽","奈良市","Q169134","https://www.wikidata.org/w/index.php?title=Q169134&oldid=undefined","verified"
"jp-nara","平城","奈良市","Q169134","https://www.wikidata.org/w/index.php?title=Q169134&oldid=undefined","verified"
"jp-nara","南都","奈良市","Q169134","https://www.wikidata.org/w/index.php?title=Q169134&oldid=undefined","verified"
"jp-kobe","Kobe","神戸市","Q48320","https://www.wikidata.org/w/index.php?title=Q48320&oldid=undefined","verified"
"jp-kobe","こうべし","神戸市","Q48320","https://www.wikidata.org/w/index.php?title=Q48320&oldid=undefined","verified"
"jp-kobe","神戸市","神戸市","Q48320","https://www.wikidata.org/w/index.php?title=Q48320&oldid=undefined","verified"
"jp-kobe","神户市","神戸市","Q48320","https://www.wikidata.org/w/index.php?title=Q48320&oldid=undefined","verified"
"jp-kobe","神戸","神戸市","Q48320","https://www.wikidata.org/w/index.php?title=Q48320&oldid=undefined","verified"
"jp-kobe","神户","神戸市","Q48320","https://www.wikidata.org/w/index.php?title=Q48320&oldid=undefined","verified"
"jp-kobe","神戶","神戸市","Q48320","https://www.wikidata.org/w/index.php?title=Q48320&oldid=undefined","verified"
"jp-kobe","Kobe City","神戸市","Q48320","https://www.wikidata.org/w/index.php?title=Q48320&oldid=undefined","verified"
"jp-kobe","Kobe-shi","神戸市","Q48320","https://www.wikidata.org/w/index.php?title=Q48320&oldid=undefined","verified"
"jp-kobe","Kōbe-shi","神戸市","Q48320","https://www.wikidata.org/w/index.php?title=Q48320&oldid=undefined","verified"
"jp-kobe","Kōbe","神戸市","Q48320","https://www.wikidata.org/w/index.php?title=Q48320&oldid=undefined","verified"
"jp-kobe","Koube-shi","神戸市","Q48320","https://www.wikidata.org/w/index.php?title=Q48320&oldid=undefined","verified"
"jp-kobe","Koube","神戸市","Q48320","https://www.wikidata.org/w/index.php?title=Q48320&oldid=undefined","verified"
"jp-hiroshima","Hiroshima","広島市","Q34664","https://www.wikidata.org/w/index.php?title=Q34664&oldid=undefined","verified"
"jp-hiroshima","廣島市","広島市","Q34664","https://www.wikidata.org/w/index.php?title=Q34664&oldid=undefined","verified"
"jp-hiroshima","広島区","広島市","Q34664","https://www.wikidata.org/w/index.php?title=Q34664&oldid=undefined","verified"
"jp-hiroshima","廣嶋","広島市","Q34664","https://www.wikidata.org/w/index.php?title=Q34664&oldid=undefined","verified"
"jp-hiroshima","Hiroshima City","広島市","Q34664","https://www.wikidata.org/w/index.php?title=Q34664&oldid=undefined","verified"
"jp-hiroshima","City of Hiroshima","広島市","Q34664","https://www.wikidata.org/w/index.php?title=Q34664&oldid=undefined","verified"
"jp-miyajima","Miyajima","厳島","Q875301","https://www.wikidata.org/w/index.php?title=Q875301&oldid=undefined","unresolved"
"jp-miyajima","安芸の宮島","厳島","Q875301","https://www.wikidata.org/w/index.php?title=Q875301&oldid=undefined","unresolved"
